premise_1,premise_2,inferred,support_count
earth InstanceOf planet solar system,planet solar system AtLocation water,earth AtLocation water,1
earth InstanceOf planet solar system,planet solar system AtLocation bedroom,earth AtLocation bedroom,1
earth InstanceOf planet solar system,planet solar system AtLocation cabinet,earth AtLocation cabinet,1
earth InstanceOf planet solar system,planet solar system AtLocation university,earth AtLocation university,1
earth InstanceOf planet solar system,planet solar system AtLocation space,earth AtLocation space,1
yerevan InstanceOf city,city AtLocation county,yerevan AtLocation county,1
yerevan InstanceOf city,city AtLocation province,yerevan AtLocation province,1
yerevan InstanceOf city,city AtLocation germany,yerevan AtLocation germany,1
yerevan InstanceOf city,city AtLocation surface earth,yerevan AtLocation surface earth,1
yerevan InstanceOf city,city AtLocation unite state,yerevan AtLocation unite state,1
yerevan InstanceOf city,city AtLocation bus,yerevan AtLocation bus,1
yerevan InstanceOf city,city AtLocation opus,yerevan AtLocation opus,1
yerevan InstanceOf city,city AtLocation disarray,yerevan AtLocation disarray,1
yerevan InstanceOf city,city AtLocation fast-food restaurant,yerevan AtLocation fast-food restaurant,1
yerevan InstanceOf city,city AtLocation australia,yerevan AtLocation australia,1
yerevan InstanceOf city,city AtLocation philippine,yerevan AtLocation philippine,1
yerevan InstanceOf city,city AtLocation city,yerevan AtLocation city,1
yerevan InstanceOf city,city AtLocation any large city,yerevan AtLocation any large city,1
yerevan InstanceOf city,city AtLocation big city,yerevan AtLocation big city,1
yerevan InstanceOf city,city AtLocation pet shop,yerevan AtLocation pet shop,1
yerevan InstanceOf city,city AtLocation kitchen,yerevan AtLocation kitchen,1
yerevan InstanceOf city,city AtLocation forest,yerevan AtLocation forest,1
yerevan InstanceOf city,city AtLocation desk,yerevan AtLocation desk,1
yerevan InstanceOf city,city AtLocation mall,yerevan AtLocation mall,1
yerevan InstanceOf city,city AtLocation drawer,yerevan AtLocation drawer,1
yerevan InstanceOf city,city AtLocation state province,yerevan AtLocation state province,1
yerevan InstanceOf city,city AtLocation downtown,yerevan AtLocation downtown,1
yerevan InstanceOf city,city AtLocation urban area,yerevan AtLocation urban area,1
brazil InstanceOf country,country AtLocation globe map,brazil AtLocation globe map,1
brazil InstanceOf country,country AtLocation forest,brazil AtLocation forest,1
brazil InstanceOf country,country AtLocation great outdoors,brazil AtLocation great outdoors,1
brazil InstanceOf country,country AtLocation wa4,brazil AtLocation wa4,1
brazil InstanceOf country,country AtLocation war,brazil AtLocation war,1
brazil InstanceOf country,country AtLocation africa,brazil AtLocation africa,1
brazil InstanceOf country,country AtLocation rural,brazil AtLocation rural,1
brazil InstanceOf country,country AtLocation rural area,brazil AtLocation rural area,1
brazil InstanceOf country,country AtLocation midwest,brazil AtLocation midwest,1
strawberry InstanceOf fruit,fruit AtLocation market,strawberry AtLocation market,1
strawberry InstanceOf fruit,fruit AtLocation fruit grove,strawberry AtLocation fruit grove,1
strawberry InstanceOf fruit,fruit AtLocation container,strawberry AtLocation container,1
strawberry InstanceOf fruit,fruit AtLocation pantry,strawberry AtLocation pantry,1
strawberry InstanceOf fruit,fruit AtLocation produce section,strawberry AtLocation produce section,1
strawberry InstanceOf fruit,fruit AtLocation fruit cocktail,strawberry AtLocation fruit cocktail,1
strawberry InstanceOf fruit,fruit AtLocation supermarket,strawberry AtLocation supermarket,1
strawberry InstanceOf fruit,fruit AtLocation refridgerator,strawberry AtLocation refridgerator,1
strawberry InstanceOf fruit,fruit AtLocation plate,strawberry AtLocation plate,1
strawberry InstanceOf fruit,fruit AtLocation fridge,strawberry AtLocation fridge,1
strawberry InstanceOf fruit,fruit AtLocation mouth,strawberry AtLocation mouth,1
strawberry InstanceOf fruit,fruit AtLocation refriderator,strawberry AtLocation refriderator,1
strawberry InstanceOf fruit,fruit AtLocation san francisco,strawberry AtLocation san francisco,1
strawberry InstanceOf fruit,fruit AtLocation refrigerator,strawberry AtLocation refrigerator,1
strawberry InstanceOf fruit,fruit AtLocation jar,strawberry AtLocation jar,1
strawberry InstanceOf fruit,fruit AtLocation basket,strawberry AtLocation basket,1
strawberry InstanceOf fruit,fruit AtLocation fruit bowl,strawberry AtLocation fruit bowl,1
strawberry InstanceOf fruit,fruit AtLocation kitchen,strawberry AtLocation kitchen,1
strawberry InstanceOf fruit,fruit AtLocation shop,strawberry AtLocation shop,1
strawberry InstanceOf fruit,fruit AtLocation pizza,strawberry AtLocation pizza,1
strawberry InstanceOf fruit,fruit AtLocation freezer,strawberry AtLocation freezer,1
strawberry InstanceOf fruit,fruit AtLocation store,strawberry AtLocation store,1
strawberry InstanceOf fruit,fruit AtLocation dinner,strawberry AtLocation dinner,1
strawberry InstanceOf fruit,fruit AtLocation home,strawberry AtLocation home,1
strawberry InstanceOf fruit,fruit AtLocation field,strawberry AtLocation field,1
strawberry InstanceOf fruit,fruit AtLocation apartment,strawberry AtLocation apartment,1
strawberry InstanceOf fruit,fruit AtLocation garden,strawberry AtLocation garden,1
strawberry InstanceOf fruit,fruit AtLocation resturant,strawberry AtLocation resturant,1
strawberry InstanceOf fruit,fruit AtLocation house,strawberry AtLocation house,1
strawberry InstanceOf fruit,fruit AtLocation farmer market,strawberry AtLocation farmer market,1
strawberry InstanceOf fruit,fruit AtLocation forest,strawberry AtLocation forest,1
strawberry InstanceOf fruit,fruit AtLocation mall,strawberry AtLocation mall,1
strawberry InstanceOf fruit,fruit AtLocation cupboard,strawberry AtLocation cupboard,1
strawberry InstanceOf fruit,fruit AtLocation table,strawberry AtLocation table,1
strawberry InstanceOf fruit,fruit AtLocation park,strawberry AtLocation park,1
strawberry InstanceOf fruit,fruit AtLocation restaurant,strawberry AtLocation restaurant,1
strawberry InstanceOf fruit,fruit AtLocation oven,strawberry AtLocation oven,1
strawberry InstanceOf fruit,fruit AtLocation bowl,strawberry AtLocation bowl,1
strawberry InstanceOf fruit,fruit AtLocation hang tree,strawberry AtLocation hang tree,1
strawberry InstanceOf fruit,fruit AtLocation grocery store,strawberry AtLocation grocery store,1
strawberry InstanceOf fruit,fruit AtLocation orchard,strawberry AtLocation orchard,1
banana InstanceOf fruit,fruit AtLocation market,banana AtLocation market,1
banana InstanceOf fruit,fruit AtLocation fruit grove,banana AtLocation fruit grove,1
banana InstanceOf fruit,fruit AtLocation container,banana AtLocation container,1
banana InstanceOf fruit,fruit AtLocation pantry,banana AtLocation pantry,1
banana InstanceOf fruit,fruit AtLocation produce section,banana AtLocation produce section,1
banana InstanceOf fruit,fruit AtLocation fruit cocktail,banana AtLocation fruit cocktail,1
banana InstanceOf fruit,fruit AtLocation supermarket,banana AtLocation supermarket,1
banana InstanceOf fruit,fruit AtLocation refridgerator,banana AtLocation refridgerator,1
banana InstanceOf fruit,fruit AtLocation plate,banana AtLocation plate,1
banana InstanceOf fruit,fruit AtLocation fridge,banana AtLocation fridge,1
banana InstanceOf fruit,fruit AtLocation mouth,banana AtLocation mouth,1
banana InstanceOf fruit,fruit AtLocation refriderator,banana AtLocation refriderator,1
banana InstanceOf fruit,fruit AtLocation san francisco,banana AtLocation san francisco,1
banana InstanceOf fruit,fruit AtLocation refrigerator,banana AtLocation refrigerator,1
banana InstanceOf fruit,fruit AtLocation jar,banana AtLocation jar,1
banana InstanceOf fruit,fruit AtLocation basket,banana AtLocation basket,1
banana InstanceOf fruit,fruit AtLocation fruit bowl,banana AtLocation fruit bowl,1
banana InstanceOf fruit,fruit AtLocation kitchen,banana AtLocation kitchen,1
banana InstanceOf fruit,fruit AtLocation shop,banana AtLocation shop,1
banana InstanceOf fruit,fruit AtLocation pizza,banana AtLocation pizza,1
banana InstanceOf fruit,fruit AtLocation freezer,banana AtLocation freezer,1
banana InstanceOf fruit,fruit AtLocation store,banana AtLocation store,1
banana InstanceOf fruit,fruit AtLocation dinner,banana AtLocation dinner,1
banana InstanceOf fruit,fruit AtLocation home,banana AtLocation home,1
banana InstanceOf fruit,fruit AtLocation field,banana AtLocation field,1
banana InstanceOf fruit,fruit AtLocation apartment,banana AtLocation apartment,1
banana InstanceOf fruit,fruit AtLocation garden,banana AtLocation garden,1
banana InstanceOf fruit,fruit AtLocation resturant,banana AtLocation resturant,1
banana InstanceOf fruit,fruit AtLocation house,banana AtLocation house,1
banana InstanceOf fruit,fruit AtLocation farmer market,banana AtLocation farmer market,1
banana InstanceOf fruit,fruit AtLocation forest,banana AtLocation forest,1
banana InstanceOf fruit,fruit AtLocation mall,banana AtLocation mall,1
banana InstanceOf fruit,fruit AtLocation cupboard,banana AtLocation cupboard,1
banana InstanceOf fruit,fruit AtLocation table,banana AtLocation table,1
banana InstanceOf fruit,fruit AtLocation park,banana AtLocation park,1
banana InstanceOf fruit,fruit AtLocation restaurant,banana AtLocation restaurant,1
banana InstanceOf fruit,fruit AtLocation oven,banana AtLocation oven,1
banana InstanceOf fruit,fruit AtLocation bowl,banana AtLocation bowl,1
banana InstanceOf fruit,fruit AtLocation hang tree,banana AtLocation hang tree,1
banana InstanceOf fruit,fruit AtLocation grocery store,banana AtLocation grocery store,1
banana InstanceOf fruit,fruit AtLocation orchard,banana AtLocation orchard,1
mit InstanceOf university,university AtLocation university student,mit AtLocation university student,1
mit InstanceOf university,university AtLocation chemistry lab,mit AtLocation chemistry lab,1
mit InstanceOf university,university AtLocation florida,mit AtLocation florida,1
mit InstanceOf university,university AtLocation drawer,mit AtLocation drawer,1
mit InstanceOf university,"university AtLocation town over 10,000","mit AtLocation town over 10,000",1
mit InstanceOf university,university AtLocation city,mit AtLocation city,1
asia InstanceOf continent,continent AtLocation seven,asia AtLocation seven,1
asia InstanceOf continent,continent AtLocation global,asia AtLocation global,1
asia InstanceOf continent,continent AtLocation world,asia AtLocation world,1
asia InstanceOf continent,continent AtLocation earth crust,asia AtLocation earth crust,1
asia InstanceOf continent,continent AtLocation sea,asia AtLocation sea,1
queen InstanceOf rock band,rock band AtLocation concert,queen AtLocation concert,1
friend InstanceOf sitcoms,sitcoms AtLocation television,friend AtLocation television,1
friend InstanceOf sitcom,sitcom AtLocation television,friend AtLocation television,1
friend InstanceOf sitcom,sitcom AtLocation tv,friend AtLocation tv,1
titanic InstanceOf film,film AtLocation cabinet,titanic AtLocation cabinet,1
titanic InstanceOf film,film AtLocation drawer,titanic AtLocation drawer,1
titanic InstanceOf film,film AtLocation disneyland,titanic AtLocation disneyland,1
titanic InstanceOf film,film AtLocation movies,titanic AtLocation movies,1
titanic InstanceOf movie,movie AtLocation video store,titanic AtLocation video store,1
titanic InstanceOf movie,movie AtLocation television,titanic AtLocation television,1
titanic InstanceOf movie,movie AtLocation drive-in movie,titanic AtLocation drive-in movie,1
titanic InstanceOf movie,movie AtLocation plane,titanic AtLocation plane,1
titanic InstanceOf movie,movie AtLocation movie theatre,titanic AtLocation movie theatre,1
titanic InstanceOf movie,movie AtLocation movies,titanic AtLocation movies,1
titanic InstanceOf movie,movie AtLocation movie theater,titanic AtLocation movie theater,1
titanic InstanceOf movie,movie AtLocation jellyfish,titanic AtLocation jellyfish,1
titanic InstanceOf movie,movie AtLocation vcr,titanic AtLocation vcr,1
titanic InstanceOf movie,movie AtLocation city,titanic AtLocation city,1
titanic InstanceOf movie,movie AtLocation opus,titanic AtLocation opus,1
s InstanceOf city,city AtLocation county,s AtLocation county,1
s InstanceOf city,city AtLocation province,s AtLocation province,1
s InstanceOf city,city AtLocation germany,s AtLocation germany,1
s InstanceOf city,city AtLocation surface earth,s AtLocation surface earth,1
s InstanceOf city,city AtLocation unite state,s AtLocation unite state,1
s InstanceOf city,city AtLocation bus,s AtLocation bus,1
s InstanceOf city,city AtLocation opus,s AtLocation opus,1
s InstanceOf city,city AtLocation disarray,s AtLocation disarray,1
s InstanceOf city,city AtLocation fast-food restaurant,s AtLocation fast-food restaurant,1
s InstanceOf city,city AtLocation australia,s AtLocation australia,1
s InstanceOf city,city AtLocation philippine,s AtLocation philippine,1
s InstanceOf city,city AtLocation city,s AtLocation city,1
s InstanceOf city,city AtLocation any large city,s AtLocation any large city,1
s InstanceOf city,city AtLocation big city,s AtLocation big city,1
s InstanceOf city,city AtLocation pet shop,s AtLocation pet shop,1
s InstanceOf city,city AtLocation kitchen,s AtLocation kitchen,1
s InstanceOf city,city AtLocation forest,s AtLocation forest,1
s InstanceOf city,city AtLocation desk,s AtLocation desk,1
s InstanceOf city,city AtLocation mall,s AtLocation mall,1
s InstanceOf city,city AtLocation drawer,s AtLocation drawer,1
s InstanceOf city,city AtLocation state province,s AtLocation state province,1
s InstanceOf city,city AtLocation downtown,s AtLocation downtown,1
s InstanceOf city,city AtLocation urban area,s AtLocation urban area,1
gone wind InstanceOf novel,novel AtLocation bookstore,gone wind AtLocation bookstore,1
gone wind InstanceOf novel,novel AtLocation library,gone wind AtLocation library,1
gone wind InstanceOf novel,novel AtLocation shelf,gone wind AtLocation shelf,1
soy sauce InstanceOf condiment,condiment AtLocation pantry,soy sauce AtLocation pantry,1
soy sauce InstanceOf condiment,condiment AtLocation table,soy sauce AtLocation table,1
soy sauce InstanceOf condiment,condiment AtLocation container,soy sauce AtLocation container,1
soy sauce InstanceOf condiment,condiment AtLocation refrigerator,soy sauce AtLocation refrigerator,1
soy sauce InstanceOf condiment,condiment AtLocation dinner,soy sauce AtLocation dinner,1
marvin minsky InstanceOf scientist,scientist AtLocation laboratory,marvin minsky AtLocation laboratory,1
marvin minsky InstanceOf scientist,scientist AtLocation chemistry lab,marvin minsky AtLocation chemistry lab,1
marvin minsky InstanceOf scientist,scientist AtLocation space shuttle,marvin minsky AtLocation space shuttle,1
marvin minsky InstanceOf scientist,scientist AtLocation oklahoma,marvin minsky AtLocation oklahoma,1
marvin minsky InstanceOf scientist,scientist AtLocation mit medium lab,marvin minsky AtLocation mit medium lab,1
dr pepper InstanceOf soft drink,soft drink AtLocation movie,dr pepper AtLocation movie,1
dr pepper InstanceOf soft drink,soft drink AtLocation theatre,dr pepper AtLocation theatre,1
north korea InstanceOf country,country AtLocation globe map,north korea AtLocation globe map,1
