Premise 1,Premise 2,Inferred,Gemini Response,Pattern
mother HasProperty earth,earth InstanceOf planet solar system,mother InstanceOf planet solar system,no,
family HasProperty friend,friend InstanceOf sitcoms,family InstanceOf sitcoms,no,
family HasProperty friend,friend InstanceOf sitcom,family InstanceOf sitcom,no,
mountain HasProperty fuji,fuji InstanceOf apple,mountain InstanceOf apple,no,
country HasProperty earth,earth InstanceOf planet solar system,country InstanceOf planet solar system,no,
animal HasProperty lion,lion InstanceOf atrocious animal,animal InstanceOf atrocious animal,no,
gravity HasProperty earth,earth InstanceOf planet solar system,gravity InstanceOf planet solar system,no,
need HasProperty friend,friend InstanceOf sitcoms,need InstanceOf sitcoms,no,
need HasProperty friend,friend InstanceOf sitcom,need InstanceOf sitcom,no,
rule HasProperty queen,queen InstanceOf rock band,rule InstanceOf rock band,no,
floor HasProperty earth,earth InstanceOf planet solar system,floor InstanceOf planet solar system,no,
company HasProperty friend,friend InstanceOf sitcoms,company InstanceOf sitcoms,no,
company HasProperty friend,friend InstanceOf sitcom,company InstanceOf sitcom,no,
salt HasProperty earth,earth InstanceOf planet solar system,salt InstanceOf planet solar system,no,
squirrel HasProperty lion,lion InstanceOf atrocious animal,squirrel InstanceOf atrocious animal,no,
shit HasProperty banana,banana InstanceOf fruit,shit InstanceOf fruit,no,
bed HasProperty queen,queen InstanceOf rock band,bed InstanceOf rock band,no,
shake HasProperty strawberry,strawberry InstanceOf fruit,shake InstanceOf fruit,no,
rubber HasProperty brazil,brazil InstanceOf country,rubber InstanceOf country,no,
walnut HasProperty brazil,brazil InstanceOf country,walnut InstanceOf country,no,
power HasProperty hydroelectric,hydroelectric InstanceOf power generation,power InstanceOf power generation,no,
tin HasProperty lion,lion InstanceOf atrocious animal,tin InstanceOf atrocious animal,no,
silk HasProperty asia,asia InstanceOf continent,silk InstanceOf continent,no,
friendship HasProperty friend,friend InstanceOf sitcoms,friendship InstanceOf sitcoms,no,
friendship HasProperty friend,friend InstanceOf sitcom,friendship InstanceOf sitcom,no,
taste HasProperty earth,earth InstanceOf planet solar system,taste InstanceOf planet solar system,no,
burial HasProperty earth,earth InstanceOf planet solar system,burial InstanceOf planet solar system,no,
quake HasProperty earth,earth InstanceOf planet solar system,quake InstanceOf planet solar system,no,
