Premise 1,Premise 2,Inferred,Gemini Response,Pattern
main HasProperty lion,lion InstanceOf atrocious animal,main InstanceOf atrocious animal,yes,
dynasty HasProperty lineage,lineage InstanceOf online game,dynasty InstanceOf online game,yes,
bore HasPainCharacter sharp,sharp CapableOf damage,bore CapableOf damage,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf hurt,bore CapableOf hurt,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf pierce through human skin,bore CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
bore HasPainCharacter sharp,sharp CapableOf hurt person,bore CapableOf hurt person,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf burn hand,bore CapableOf burn hand,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf mean sexy,bore CapableOf mean sexy,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf kill human,bore CapableOf kill human,yes,HasPainCharacter → CapableOf
bore HasPainCharacter hot,hot CapableOf warm cold,bore CapableOf warm cold,yes,HasPainCharacter → CapableOf
heavy HasPainCharacter pressure,pressure CapableOf break,heavy CapableOf break,yes,HasPainCharacter → CapableOf
heavy HasPainCharacter pressure,pressure CapableOf press matter,heavy CapableOf press matter,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf damage,drill CapableOf damage,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf hurt,drill CapableOf hurt,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf pierce through human skin,drill CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
drill HasPainCharacter sharp,sharp CapableOf hurt person,drill CapableOf hurt person,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf burn hand,sear CapableOf burn hand,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf mean sexy,sear CapableOf mean sexy,yes,HasPainCharacter → CapableOf
sear HasPainCharacter hot,hot CapableOf kill human,sear CapableOf kill human,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf damage,stab CapableOf damage,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf hurt,stab CapableOf hurt,yes,HasPainCharacter → CapableOf
stab HasPainCharacter sharp,sharp CapableOf pierce through human skin,stab CapableOf pierce through human skin,yes,HasPainCharacter → CapableOf
