premise_1,premise_2,inferred,support_count
human InheritsFrom master control,master control AtLocation main office,human AtLocation main office,1
human InheritsFrom master control,master control AtLocation center,human AtLocation center,1
human InheritsFrom master control,master control AtLocation manufacture plant,human AtLocation manufacture plant,1
human InheritsFrom master control,master control AtLocation basement,human AtLocation basement,1
human InheritsFrom master control,master control AtLocation electricity breaker switch panel,human AtLocation electricity breaker switch panel,1
human InheritsFrom master control,master control AtLocation helm ship,human AtLocation helm ship,1
human InheritsFrom master control,master control AtLocation big factory,human AtLocation big factory,1
human InheritsFrom master control,master control AtLocation nuclear power plant,human AtLocation nuclear power plant,1
human InheritsFrom master control,master control AtLocation lock cabinet,human AtLocation lock cabinet,1
human InheritsFrom master control,master control AtLocation city,human AtLocation city,1
human InheritsFrom master control,master control AtLocation subway,human AtLocation subway,1
human InheritsFrom master control,master control AtLocation home,human AtLocation home,1
human InheritsFrom master control,master control AtLocation build,human AtLocation build,1
human InheritsFrom master control,master control AtLocation room,human AtLocation room,1
human InheritsFrom master control,master control AtLocation restaurant,human AtLocation restaurant,1
human InheritsFrom master control,master control AtLocation love,human AtLocation love,1
human InheritsFrom master control,master control AtLocation apartment,human AtLocation apartment,1
human InheritsFrom master control,master control AtLocation mall,human AtLocation mall,1
human InheritsFrom master control,master control AtLocation bed,human AtLocation bed,1
person InheritsFrom steak,steak AtLocation plate,person AtLocation plate,1
person InheritsFrom steak,steak AtLocation refrigerator,person AtLocation refrigerator,1
person InheritsFrom steak,steak AtLocation freezer,person AtLocation freezer,1
person InheritsFrom steak,steak AtLocation grocery store,person AtLocation grocery store,1
person InheritsFrom steak,steak AtLocation resturant,person AtLocation resturant,1
person InheritsFrom steak,steak AtLocation market,person AtLocation market,1
person InheritsFrom steak,steak AtLocation supermarket,person AtLocation supermarket,1
person InheritsFrom steak,steak AtLocation house,person AtLocation house,1
person InheritsFrom steak,steak AtLocation kitchen,person AtLocation kitchen,1
person InheritsFrom steak,steak AtLocation fridge,person AtLocation fridge,1
person InheritsFrom steak,steak AtLocation home,person AtLocation home,1
person InheritsFrom steak,steak AtLocation store,person AtLocation store,1
person InheritsFrom steak,steak AtLocation table,person AtLocation table,1
person InheritsFrom steak,steak AtLocation apartment,person AtLocation apartment,1
person InheritsFrom steak,steak AtLocation party,person AtLocation party,1
person InheritsFrom steak,steak AtLocation jar,person AtLocation jar,1
person InheritsFrom steak,steak AtLocation cupboard,person AtLocation cupboard,1
person InheritsFrom steak,steak AtLocation mall,person AtLocation mall,1
person InheritsFrom steak,steak AtLocation cow,person AtLocation cow,1
person InheritsFrom steak,steak AtLocation restaurant,person AtLocation restaurant,1
person InheritsFrom steak,steak AtLocation pantry,person AtLocation pantry,1
person InheritsFrom steak,steak AtLocation oven,person AtLocation oven,1
person InheritsFrom apple,apple AtLocation market,person AtLocation market,1
person InheritsFrom apple,apple AtLocation apple orchard,person AtLocation apple orchard,1
person InheritsFrom apple,apple AtLocation apple pie,person AtLocation apple pie,1
person InheritsFrom apple,apple AtLocation table,person AtLocation table,1
person InheritsFrom apple,apple AtLocation apple tree,person AtLocation apple tree,1
person InheritsFrom apple,apple AtLocation grocery store,person AtLocation grocery store,1
person InheritsFrom apple,apple AtLocation fridge,person AtLocation fridge,1
person InheritsFrom apple,apple AtLocation produce section supermarket,person AtLocation produce section supermarket,1
person InheritsFrom apple,apple AtLocation toffee apple,person AtLocation toffee apple,1
person InheritsFrom apple,apple AtLocation horse mouth,person AtLocation horse mouth,1
person InheritsFrom apple,apple AtLocation refrigerator,person AtLocation refrigerator,1
person InheritsFrom apple,apple AtLocation greengrocer,person AtLocation greengrocer,1
person InheritsFrom apple,apple AtLocation house,person AtLocation house,1
person InheritsFrom apple,apple AtLocation dinner,person AtLocation dinner,1
person InheritsFrom apple,apple AtLocation apartment,person AtLocation apartment,1
person InheritsFrom apple,apple AtLocation home,person AtLocation home,1
person InheritsFrom apple,apple AtLocation forest,person AtLocation forest,1
person InheritsFrom apple,apple AtLocation resturant,person AtLocation resturant,1
person InheritsFrom apple,apple AtLocation kitchen,person AtLocation kitchen,1
person InheritsFrom apple,apple AtLocation fair,person AtLocation fair,1
person InheritsFrom apple,apple AtLocation party,person AtLocation party,1
person InheritsFrom apple,apple AtLocation earth surface,person AtLocation earth surface,1
person InheritsFrom apple,apple AtLocation wed,person AtLocation wed,1
person InheritsFrom apple,apple AtLocation concert,person AtLocation concert,1
person InheritsFrom apple,apple AtLocation mall,person AtLocation mall,1
person InheritsFrom apple,apple AtLocation subway,person AtLocation subway,1
person InheritsFrom apple,apple AtLocation boat,person AtLocation boat,1
person InheritsFrom apple,apple AtLocation street,person AtLocation street,1
person InheritsFrom apple,apple AtLocation zoo,person AtLocation zoo,1
person InheritsFrom apple,apple AtLocation garage,person AtLocation garage,1
person InheritsFrom apple,apple AtLocation field,person AtLocation field,1
person InheritsFrom apple,apple AtLocation cupboard,person AtLocation cupboard,1
