premise_1,premise_2,inferred,support_count
wagon PartOf wheel,wheel HasSubevent bore,wagon HasSubevent bore,1
arm PartOf person,person HasSubevent crave eat sweet,arm HasSubevent crave eat sweet,1
arm PartOf person,person HasSubevent gun fight quick win,arm HasSubevent gun fight quick win,1
it PartOf computer,computer HasSubevent type,it HasSubevent type,1
think PartOf read,read HasSubevent eye tire,think HasSubevent eye tire,1
think PartOf read,read HasSubevent listen classical music,think HasSubevent listen classical music,1
think PartOf read,read HasSubevent adjust glass,think HasSubevent adjust glass,1
think PartOf read,read HasSubevent drink cup tea,think HasSubevent drink cup tea,1
think PartOf read,read HasSubevent hold book,think HasSubevent hold book,1
think PartOf read,read HasSubevent fall asleep,think HasSubevent fall asleep,1
think PartOf read,read HasSubevent learn new word,think HasSubevent learn new word,1
think PartOf read,read HasSubevent laugh,think HasSubevent laugh,1
think PartOf read,read HasSubevent eat potato chip,think HasSubevent eat potato chip,1
think PartOf read,read HasSubevent enjoy yourself,think HasSubevent enjoy yourself,1
think PartOf read,read HasSubevent select read,think HasSubevent select read,1
think PartOf read,read HasSubevent kill kyle bogner,think HasSubevent kill kyle bogner,1
think PartOf read,read HasSubevent memorize,think HasSubevent memorize,1
think PartOf read,read HasSubevent experinece new world other viewpoint,think HasSubevent experinece new world other viewpoint,1
think PartOf read,read HasSubevent learn new information,think HasSubevent learn new information,1
think PartOf read,read HasSubevent sip tea,think HasSubevent sip tea,1
think PartOf read,read HasSubevent imagination use,think HasSubevent imagination use,1
think PartOf read,read HasSubevent lose place,think HasSubevent lose place,1
think PartOf read,read HasSubevent play music background,think HasSubevent play music background,1
think PartOf read,read HasSubevent listen music,think HasSubevent listen music,1
think PartOf read,read HasSubevent become absorb,think HasSubevent become absorb,1
think PartOf read,read HasSubevent sit down,think HasSubevent sit down,1
think PartOf read,read HasSubevent pencil,think HasSubevent pencil,1
think PartOf read,read HasSubevent gun,think HasSubevent gun,1
think PartOf read,read HasSubevent milk,think HasSubevent milk,1
