premise_1,premise_2,inferred,support_count
work LocatedNear job,job Causes go crazy,work Causes go crazy,1
work LocatedNear job,job Causes ejaculation,work Causes ejaculation,1
work LocatedNear employment,employment Causes depression,work Causes depression,1
love LocatedNear marriage,marriage Causes person unhappy,love Causes person unhappy,1
love LocatedNear marriage,marriage Causes child,love Causes child,1
love LocatedNear marriage,marriage Causes stability,love Causes stability,1
love LocatedNear marriage,marriage Causes get stable,love Causes get stable,1
library LocatedNear study,study Causes learn,library Causes learn,1
library LocatedNear study,study Causes knowledge,library Causes knowledge,1
library LocatedNear study,study Causes great knowledge bring great experience,library Causes great knowledge bring great experience,1
library LocatedNear study,study Causes inspiration,library Causes inspiration,1
library LocatedNear study,study Causes brain hurt,library Causes brain hurt,1
library LocatedNear study,study Causes gather information,library Causes gather information,1
library LocatedNear study,study Causes get sleepy,library Causes get sleepy,1
library LocatedNear study,study Causes sleep,library Causes sleep,1
library LocatedNear study,study Causes pass exam,library Causes pass exam,1
library LocatedNear study,study Causes fatague,library Causes fatague,1
library LocatedNear study,study Causes improve grade,library Causes improve grade,1
library LocatedNear study,study Causes learn information,library Causes learn information,1
library LocatedNear study,study Causes know,library Causes know,1
library LocatedNear study,study Causes headache,library Causes headache,1
library LocatedNear study,study Causes intelligence,library Causes intelligence,1
library LocatedNear study,study Causes high intelligence,library Causes high intelligence,1
library LocatedNear study,study Causes much intelligence,library Causes much intelligence,1
library LocatedNear study,study Causes remember,library Causes remember,1
library LocatedNear study,study Causes improve job performance,library Causes improve job performance,1
library LocatedNear study,study Causes wife impress,library Causes wife impress,1
library LocatedNear study,study Causes increase knowledge,library Causes increase knowledge,1
library LocatedNear study,study Causes twitch eyelid,library Causes twitch eyelid,1
library LocatedNear study,study Causes master new subject,library Causes master new subject,1
library LocatedNear study,study Causes better grade,library Causes better grade,1
library LocatedNear study,study Causes increase brain power,library Causes increase brain power,1
library LocatedNear study,study Causes fill heart pride,library Causes fill heart pride,1
library LocatedNear study,study Causes better result,library Causes better result,1
library LocatedNear study,study Causes grade improve,library Causes grade improve,1
library LocatedNear study,study Causes grade go up,library Causes grade go up,1
library LocatedNear study,study Causes accumulate knowledge,library Causes accumulate knowledge,1
bath LocatedNear shower,shower Causes skin become clean,bath Causes skin become clean,1
bath LocatedNear shower,shower Causes feel good,bath Causes feel good,1
bath LocatedNear shower,shower Causes wrinkle skin,bath Causes wrinkle skin,1
bath LocatedNear shower,shower Causes feel better,bath Causes feel better,1
bath LocatedNear shower,shower Causes bathroom damp,bath Causes bathroom damp,1
bath LocatedNear shower,shower Causes dry skin,bath Causes dry skin,1
bath LocatedNear shower,shower Causes feel fresh,bath Causes feel fresh,1
bath LocatedNear shower,shower Causes masturbation,bath Causes masturbation,1
bath LocatedNear shower,shower Causes get wet,bath Causes get wet,1
bath LocatedNear shower,shower Causes plant grow,bath Causes plant grow,1
bath LocatedNear shower,shower Causes hair get wet,bath Causes hair get wet,1
bath LocatedNear shower,shower Causes smell good,bath Causes smell good,1
bath LocatedNear shower,shower Causes water leak,bath Causes water leak,1
bath LocatedNear shower,shower Causes slip,bath Causes slip,1
bath LocatedNear shower,shower Causes wrinkle finger,bath Causes wrinkle finger,1
bath LocatedNear shower,shower Causes smell nice,bath Causes smell nice,1
bath LocatedNear shower,shower Causes go sleep,bath Causes go sleep,1
bath LocatedNear shower,shower Causes become cleaner,bath Causes become cleaner,1
