premise_1,premise_2,inferred,support_count
it CreatedBy human,human InheritsFrom master control,it InheritsFrom master control,1
it CreatedBy god,god InheritsFrom pastor,it InheritsFrom pastor,1
movie CreatedBy director,director InheritsFrom fisherman,movie InheritsFrom fisherman,1
movie CreatedBy director,director InheritsFrom mozart,movie InheritsFrom mozart,1
cat CreatedBy god,god InheritsFrom pastor,cat InheritsFrom pastor,1
robot CreatedBy human,human InheritsFrom master control,robot InheritsFrom master control,1
mistake CreatedBy person,person InheritsFrom steak,mistake InheritsFrom steak,1
mistake CreatedBy person,person InheritsFrom apple,mistake InheritsFrom apple,1
mistake CreatedBy person,person InheritsFrom doll,mistake InheritsFrom doll,1
mistake CreatedBy person,person InheritsFrom master control,mistake InheritsFrom master control,1
mistake CreatedBy person,person InheritsFrom food store,mistake InheritsFrom food store,1
everything CreatedBy god,god InheritsFrom pastor,everything InheritsFrom pastor,1
television CreatedBy person,person InheritsFrom steak,television InheritsFrom steak,1
television CreatedBy person,person InheritsFrom apple,television InheritsFrom apple,1
television CreatedBy person,person InheritsFrom doll,television InheritsFrom doll,1
television CreatedBy person,person InheritsFrom master control,television InheritsFrom master control,1
television CreatedBy person,person InheritsFrom food store,television InheritsFrom food store,1
sentence CreatedBy person,person InheritsFrom steak,sentence InheritsFrom steak,1
sentence CreatedBy person,person InheritsFrom apple,sentence InheritsFrom apple,1
sentence CreatedBy person,person InheritsFrom doll,sentence InheritsFrom doll,1
sentence CreatedBy person,person InheritsFrom master control,sentence InheritsFrom master control,1
sentence CreatedBy person,person InheritsFrom food store,sentence InheritsFrom food store,1
universe CreatedBy god,god InheritsFrom pastor,universe InheritsFrom pastor,1
earth CreatedBy god,god InheritsFrom pastor,earth InheritsFrom pastor,1
idea CreatedBy person,person InheritsFrom steak,idea InheritsFrom steak,1
idea CreatedBy person,person InheritsFrom apple,idea InheritsFrom apple,1
idea CreatedBy person,person InheritsFrom doll,idea InheritsFrom doll,1
idea CreatedBy person,person InheritsFrom master control,idea InheritsFrom master control,1
idea CreatedBy person,person InheritsFrom food store,idea InheritsFrom food store,1
government CreatedBy person,person InheritsFrom steak,government InheritsFrom steak,1
government CreatedBy person,person InheritsFrom apple,government InheritsFrom apple,1
government CreatedBy person,person InheritsFrom doll,government InheritsFrom doll,1
government CreatedBy person,person InheritsFrom master control,government InheritsFrom master control,1
